"attendance_id","user_id","date","status","remarks"
"1","1","2024-02-01","Present","On time"
"2","2","2024-02-01","Late","5 minutes late"
"3","3","2024-02-01","Absent","Sick leave"
"4","4","2024-02-02","Present","On time"
"5","5","2024-02-02","Present","On time"
"6","6","2024-02-02","Absent","Personal leave"
"7","7","2024-02-03","Present","On time"
"8","8","2024-02-03","Late","10 minutes late"
"9","9","2024-02-03","Absent","No reason given"
"10","10","2024-02-04","Present","On time"
"11","11","2024-02-04","Present","On time"
"12","12","2024-02-04","Late","15 minutes late"
