"check_id","applicant_id","check_type","status","requested_date","completed_date"
"1","1","Criminal","Completed","2024-01-10","2024-01-15"
"2","2","Employment","Pending","2024-02-05","null"
"3","3","Credit","Failed","2024-01-20","2024-01-25"
"4","4","Criminal","Completed","2024-02-01","2024-02-07"
"5","1","Employment","Pending","2024-02-10","null"
"6","5","Credit","Completed","2024-01-15","2024-01-22"
"7","6","Criminal","Failed","2024-02-12","2024-02-18"
"8","3","Employment","Completed","2024-02-05","2024-02-10"
"9","7","Credit","Pending","2024-02-15","null"
"10","null","Criminal","Pending","2024-02-18","null"
