"id","location_id","date","temperature","humidity","precipitation","wind_speed"
"1","101","2024-02-01","5.2","65","12.3","15.4"
"2","102","2024-02-01","18.5","50","0","10.2"
"3","103","2024-02-01","-2.7","80","5.2","20.1"
"4","104","2024-02-02","22.1","45","0","8.5"
"5","105","2024-02-02","25.3","55","3.4","12.7"
"6","106","2024-02-02","-6.1","85","7.8","18.3"
"7","107","2024-02-03","10.7","75","2.1","9.8"
"8","108","2024-02-03","8.4","70","14.2","17.5"
"9","109","2024-02-04","12.2","65","6.7","13"
"10","110","2024-02-04","4.3","82","10.1","21.2"
"11","111","2024-02-05","15.9","60","0","7.6"
"12","112","2024-02-05","26.4","50","1.2","14.5"
"13","113","2024-02-06","30.7","40","0","10.9"
"14","114","2024-02-06","28.1","55","4.5","12.3"
"15","115","2024-02-07","20.6","65","8.3","16.1"
"16","101","2024-02-07","6.8","78","11.7","18.9"
"17","103","2024-02-08","-3.5","85","9.6","22"
"18","105","2024-02-08","24.1","58","2.8","11.4"
"19","110","2024-02-09","3.2","88","13.5","19.7"
"20","115","2024-02-09","21.9","63","5.7","14.8"
