"location_id","city","state","country","latitude","longitude"
"101","New York","New York","USA","40.7128","-74.006"
"102","Los Angeles","California","USA","34.0522","-118.2437"
"103","Chicago","Illinois","USA","41.8781","-87.6298"
"104","Houston","Texas","USA","29.7604","-95.3698"
"105","Miami","Florida","USA","25.7617","-80.1918"
"106","Toronto","Ontario","Canada","43.7001","-79.4163"
"107","Vancouver","British Columbia","Canada","49.2827","-123.1207"
"108","London","England","UK","51.5074","-0.1278"
"109","Paris","Île-de-France","France","48.8566","2.3522"
"110","Berlin","Berlin","Germany","52.52","13.405"
"111","Tokyo","Tokyo","Japan","35.6895","139.6917"
"112","Sydney","New South Wales","Australia","-33.8688","151.2093"
"113","Mumbai","Maharashtra","India","19.076","72.8777"
"114","São Paulo","São Paulo","Brazil","-23.5505","-46.6333"
"115","Johannesburg","Gauteng","South Africa","-26.2041","28.0473"
