"game_id","game_name","genre","release_date"
"1","Elden Ring","Action RPG","2022-02-25"
"2","The Witcher 3","Action RPG","2015-05-19"
"3","Cyberpunk 2077","Action RPG","2020-12-10"
"4","Minecraft","Sandbox","2011-11-18"
"5","Grand Theft Auto V","Action-Adventure","2013-09-17"
"6","Red Dead Redemption 2","Action-Adventure","2018-10-26"
"7","The Legend of Zelda: Breath of the Wild","Action-Adventure","2017-03-03"
"8","Call of Duty: Modern Warfare","First-Person Shooter","2019-10-25"
"9","Fortnite","Battle Royale","2017-07-21"
"10","Among Us","Party","2018-06-15"
