"session_id","trainer_id","session_date","session_time","session_type"
"1","1","2025-02-18","08:00:00","Yoga"
"2","2","2025-02-19","09:00:00","HIIT"
"3","3","2025-02-20","10:00:00","Strength Training"
"4","4","2025-02-21","11:00:00","CrossFit"
"5","5","2025-02-22","12:00:00","Zumba"
"6","6","2025-02-23","13:00:00","Pilates"
"7","7","2025-02-24","14:00:00","Cardio"
"8","1","2025-02-25","15:00:00","Yoga"
"9","2","2025-02-26","16:00:00","HIIT"
"10","3","2025-02-27","17:00:00","Strength Training"
"11","4","2025-02-28","18:00:00","CrossFit"
"12","5","2025-03-01","19:00:00","Zumba"
"13","6","2025-03-02","20:00:00","Pilates"
"14","7","2025-03-03","21:00:00","Cardio"
"15","1","2025-03-04","08:30:00","Yoga"
