"investigation_id","person_id","assigned_officer","department","last_update","case_status"
"1","1","Detective John","Missing Persons Unit","2024-01-15 10:00:00","In Progress"
"2","2","Officer Kate","Local Police","2023-12-02 15:30:00","Closed"
"3","3","Detective Ryan","FBI","2024-01-06 09:20:00","Closed"
"4","4","Officer Emma","Missing Persons Unit","2024-02-03 12:45:00","Open"
"5","5","Detective Lucas","State Police","2024-01-25 08:00:00","In Progress"
"6","6","Officer Henry","Missing Persons Unit","2023-11-03 13:45:00","Closed"
"7","7","Detective Morgan","FBI","2024-02-07 14:20:00","Open"
"8","8","Officer Hannah","Local Police","2024-02-01 10:10:00","Open"
"9","9","Detective Cole","State Police","2024-01-02 17:30:00","In Progress"
"10","10","Officer Kevin","Local Police","2023-10-16 09:50:00","Closed"
