"id","make","model","year","propulsion_type","time_to_60_mph_s","limited_production_count"
"1","Lamborghini","Huracán Performante","2018","ICE","2.2","null"
"2","Ferrari","SF90 Stradale","2021","Hybrid","2","null"
"3","Tesla","Model S Plaid","2021","Electric","1.98","null"
"4","Porsche","918 Spyder","2015","Hybrid","2.1","918"
"5","Rimac","Nevera","2021","Electric","1.74","150"
"6","Porsche","911 Turbo S (992)","2020","ICE","2.1","null"
"7","Bugatti","Chiron Super Sport 300+","2019","ICE","2.3","30"
"8","McLaren","P1","2013","Hybrid","2.6","375"
"9","Koenigsegg","Jesko","2021","ICE","2.5","125"
"10","Aston Martin","Valkyrie","2022","Hybrid","2.5","150"
"11","Pagani","Huayra BC","2016","ICE","2.8","20"
"12","Chevrolet","Corvette Z06 (C8)","2023","ICE","2.6","null"
"13","Dodge","Challenger SRT Demon 170","2023","ICE","1.66","3000"
"14","Lotus","Evija","2023","Electric","2","130"
"15","Ferrari","LaFerrari","2013","Hybrid","2.6","499"
"16","Hennessey","Venom F5","2023","ICE","2","24"
"17","SSC","Tuatara","2020","ICE","2.5","100"
"18","Lucid","Air Sapphire","2023","Electric","1.89","null"
