"condition_id","location_id","weather_condition","road_type","timestamp"
"1","1","Rainy","Highway","2024-02-01 08:00:00"
"2","2","Foggy","Local Road","2024-02-02 09:30:00"
"3","3","Clear","Main Road","2024-02-03 10:45:00"
"4","4","Snowy","Residential Street","2024-02-04 12:15:00"
"5","5","Windy","Rural Road","2024-02-05 14:20:00"
"6","6","Stormy","Highway","2024-02-06 16:05:00"
"7","7","Rainy","Local Road","2024-02-07 18:50:00"
"8","8","Clear","Main Road","2024-02-08 20:10:00"
"9","9","Foggy","Residential Street","2024-02-09 21:30:00"
"10","10","Snowy","Rural Road","2024-02-10 23:45:00"
