"incident_id","incident_type","vehicle_id","location_id","timestamp","severity_level"
"1","Accident","1","3","2024-02-01 08:30:00","4"
"2","Violation","2","5","2024-02-02 14:15:00","2"
"3","Breakdown","3","7","2024-02-03 18:45:00","3"
"4","Theft","4","1","2024-02-04 02:10:00","5"
"5","Other","5","6","2024-02-05 09:25:00","1"
"6","Accident","6","8","2024-02-06 16:00:00","3"
"7","Violation","7","2","2024-02-07 11:50:00","2"
"8","Breakdown","8","4","2024-02-08 20:05:00","4"
"9","Theft","9","10","2024-02-09 03:30:00","5"
"10","Other","10","9","2024-02-10 07:45:00","1"
