"id","city","country","number_of_rooms","year_listed"
"1","New York","USA","2","2021"
"2","Paris","France","1","2020"
"3","Tokyo","Japan","3","2022"
"4","Sydney","Australia","2","2019"
"5","London","UK","4","2023"
"6","Berlin","Germany","3","2021"
"7","Toronto","Canada","2","2020"
"8","Rome","Itlay","1","2022"
"9","Amsterdam","Netherlands","4","2019"
"10","Mumbai","India","2","2023"
"11","Dubai","UAE","3","2022"
"12","Bangkok","Thailand","1","2021"
"13","Madrid","Spain","2","2020"
"14","Seoul","South Korea","5","2018"
"15","Los Amgeles","USA","3","2023"
"16","Singapore","Singapore","2","2022"
"17","Istanbul","Turkey","4","2019"
"18","Rio de Janeiro","Brazil","3","2021"
"19","Cape Town","South Africa","1","2020"
"20","Hong Kong","China","2","2023"
