"id","location_id","date","pH","turbidity","dissolved_oxygen","contaminants"
"1","101","2024-02-01","7.2","3.5","8.1","Lead"
"2","102","2024-02-01","6.8","4.2","7.8","Nitrates"
"3","103","2024-02-01","7.5","2.9","8.5","None"
"4","104","2024-02-02","6.9","5.1","7.6","Chlorine"
"5","105","2024-02-02","7","3.8","8","Fluoride"
"6","106","2024-02-02","7.3","4.5","8.2","None"
"7","107","2024-02-03","6.7","5.8","7.3","Mercury"
"8","108","2024-02-03","7.4","3.2","8.4","None"
"9","109","2024-02-04","7.1","4.6","8","Nitrates"
"10","110","2024-02-04","7.2","3.9","7.9","Lead"
"11","111","2024-02-05","6.8","5.3","7.4","Pesticides"
"12","112","2024-02-05","7.5","2.7","8.6","None"
"13","113","2024-02-06","6.9","5.5","7.5","Arsenic"
"14","114","2024-02-06","7.3","3.6","8.3","None"
"15","115","2024-02-07","7","4.4","8.1","Chlorine"
"16","101","2024-02-07","7.1","3.7","8","None"
"17","103","2024-02-08","6.9","5.2","7.7","Lead"
"18","105","2024-02-08","7.4","3.1","8.5","None"
"19","110","2024-02-09","7","4.3","8","Pesticides"
"20","115","2024-02-09","6.8","5.6","7.2","Mercury"
