"session_id","user_id","game_id","start_time","end_time","score"
"1","1","3","14:00:00","15:30:00","1500"
"2","2","5","16:15:00","18:00:00","2300"
"3","3","1","19:00:00","20:45:00","1800"
"4","4","2","13:30:00","15:00:00","2100"
"5","5","4","17:45:00","19:30:00","1950"
"6","6","6","20:10:00","21:40:00","2750"
"7","7","3","12:00:00","13:20:00","1600"
"8","8","7","14:45:00","16:30:00","2900"
"9","9","8","15:30:00","17:10:00","1400"
"10","10","9","18:25:00","19:55:00","2200"
"11","1","2","10:30:00","12:00:00","1800"
"12","3","5","09:45:00","11:15:00","2600"
"13","6","1","22:00:00","23:30:00","3100"
"14","4","4","11:20:00","12:50:00","1750"
"15","7","10","13:10:00","14:40:00","2050"
