"payment_id","member_id","amount","payment_date","payment_method"
"1","1","29.99","2025-01-15","Card"
"2","2","49.99","2025-02-01","Cash"
"3","3","29.99","2025-01-22","Online"
"4","4","69.99","2025-02-10","Card"
"5","5","99.99","2025-01-25","Online"
"6","6","49.99","2025-02-12","Cash"
"7","7","29.99","2025-01-30","Card"
"8","8","69.99","2025-02-15","Online"
"9","9","99.99","2025-01-05","Cash"
"10","10","49.99","2025-01-19","Card"
"11","11","29.99","2025-02-01","Online"
"12","12","49.99","2025-02-10","Card"
"13","13","99.99","2025-01-15","Cash"
"14","14","69.99","2025-02-03","Online"
"15","15","29.99","2025-02-05","Card"
